"","location.agg","lon","lat","V4"
"SE-AB",495,16.181169,58.6644996,"SE-AB"
"SG-01",2098,103.8518904,1.28103,"SG-01"
"SI-070",506,15.6205439,46.5506496,"SI-070"
"TH-90",16,100.614347,7.1756004,"TH-90"
"TW-TNN",8,120.2268758,22.9998999,"TW-TNN"
"UA-30",632,30.5234,50.4501,"UA-30"
"UA-40",212,33.525367,44.61665,"UA-40"
"UA-46",280,24.029717,49.839683,"UA-46"
"UA-61",51,25.594767,49.553517,"UA-61"
"US-CA",17451,-119.4179324,36.778261,"US-CA"
"US-CO",1038,-105.7820674,39.5500507,"US-CO"
"US-CT",330,-73.087749,41.6032207,"US-CT"
"US-FL",1186,-81.5157535,27.6648274,"US-FL"
"US-GA",1673,-82.9000751,32.1656221,"US-GA"
"US-IA",192,-93.097702,41.8780025,"US-IA"
"US-IL",4862,-89.3985283,40.6331249,"US-IL"
"US-IN",429,-95.712891,37.09024,"US-IN"
"US-MA",3192,-73.9625033,41.3918372,"US-MA"
"US-MD",77,-76.6412712,39.0457549,"US-MD"
"US-MI",303,-85.6023643,44.3148443,"US-MI"
"US-MN",1281,-94.6858998,46.729553,"US-MN"
"US-MO",110,-91.8318334,37.9642529,"US-MO"
"US-NC",18,-79.0192997,35.7595731,"US-NC"
"US-NH",159,-71.5723953,43.1938516,"US-NH"
"US-NJ",1869,-74.4056612,40.0583238,"US-NJ"
"US-NV",245,-116.419389,38.8026097,"US-NV"
"US-NY",3453,-74.2179326,43.2994285,"US-NY"
"US-OH",1445,-82.907123,40.4172871,"US-OH"
"US-OR",608,-120.5542012,43.8041334,"US-OR"
"US-PA",2360,-77.1945247,41.2033216,"US-PA"
"US-SC",11,-77.0044398,38.8906424,"US-SC"
"US-TX",2522,-99.9018131,31.9685988,"US-TX"
"US-VA",1239,-78.6568942,37.4315734,"US-VA"
"US-WA",3177,-120.7401386,47.7510741,"US-WA"
"US-WI",714,-88.7878678,43.7844397,"US-WI"
"UY-MO",267,-56.1588712,-34.8173171,"UY-MO"
"VE-A",873,-66.58973,6.42375,"VE-A"
